2023-03-22T22:39:24+03:00
Running ./lab_benchmarks
Run on (12 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.86, 0.85, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
----------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                  Time             CPU   Iterations
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:80000/iterations:10000       47281 ns        47364 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:90000/iterations:10000       52249 ns        52341 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:100000/iterations:10000      58009 ns        58097 ns        10000
BM_Building_QubicMapBuilding/Rectangles&Points:10                                       1434 ns         1434 ns       491344
BM_Building_QubicMapBuilding/Rectangles&Points:20                                       3716 ns         3718 ns       187777
BM_Building_QubicMapBuilding/Rectangles&Points:30                                       7363 ns         7374 ns        92180
BM_Building_QubicMapBuilding/Rectangles&Points:40                                      13279 ns        13296 ns        52458
BM_Building_QubicMapBuilding/Rectangles&Points:50                                      24411 ns        24433 ns        28361
BM_Building_QubicMapBuilding/Rectangles&Points:60                                      41514 ns        41531 ns        16752
BM_Building_QubicMapBuilding/Rectangles&Points:70                                      64304 ns        64331 ns        10271
BM_Building_QubicMapBuilding/Rectangles&Points:80                                      93743 ns        93760 ns         7323
BM_Building_QubicMapBuilding/Rectangles&Points:90                                     136068 ns       136117 ns         5169
BM_Building_QubicMapBuilding/Rectangles&Points:100                                    178452 ns       178488 ns         3887
BM_Building_QubicMapBuilding/Rectangles&Points:200                                   1344608 ns      1344709 ns          513
BM_Building_QubicMapBuilding/Rectangles&Points:300                                   4433460 ns      4433671 ns          158
BM_Building_QubicMapBuilding/Rectangles&Points:400                                  10225215 ns     10225412 ns           65
BM_Building_QubicMapBuilding/Rectangles&Points:500                                  20443982 ns     20444444 ns           34
BM_Building_QubicMapBuilding/Rectangles&Points:600                                  34424429 ns     34424436 ns           20
BM_Building_QubicMapBuilding/Rectangles&Points:700                                  55946860 ns     55946512 ns           13
BM_Building_QubicMapBuilding/Rectangles&Points:800                                  90758439 ns     90758317 ns            6
BM_Building_QubicMapBuilding/Rectangles&Points:900                                 148721279 ns    148712657 ns            4
BM_Building_QubicMapBuilding/Rectangles&Points:1000                                233946030 ns    233940403 ns            3
BM_Building_QubicMapBuilding/Rectangles&Points:2000                               2834752161 ns   2834822318 ns            1
BM_Building_QubicMapBuilding/Rectangles&Points:3000                               1.0112e+10 ns   1.0112e+10 ns            1
BM_Building_QubicMapBuilding/Rectangles&Points:4000                               2.4429e+10 ns   2.4429e+10 ns            1
BM_Building_QubicMapBuilding/Rectangles&Points:5000                               4.8168e+10 ns   4.8168e+10 ns            1
BM_PerRequest_QubicMapBuilding/Rectangles&Points:10                                      184 ns          190 ns      3707408
BM_PerRequest_QubicMapBuilding/Rectangles&Points:20                                      192 ns          194 ns      3586163
BM_PerRequest_QubicMapBuilding/Rectangles&Points:30                                      189 ns          190 ns      3640874
BM_PerRequest_QubicMapBuilding/Rectangles&Points:40                                      197 ns          200 ns      3589641
BM_PerRequest_QubicMapBuilding/Rectangles&Points:50                                      195 ns          198 ns      3469591
BM_PerRequest_QubicMapBuilding/Rectangles&Points:60                                      200 ns          202 ns      3467057
BM_PerRequest_QubicMapBuilding/Rectangles&Points:70                                      202 ns          204 ns      3437550
